incident_number,Day and Month Reported,Year Reported,Police Shift,Offense Code,Offense Type,Offense Definition,Offense Sub-Category,Offense Category,Block Code,Ward,Source,Date,Time,Type,Description,latitude,longitude
22006384,2/9,2022,Last Half (Midnight - 8AM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173512041002,2              ,March 28th 2022 - December 20th 2021 Crime News,2/9/22,12:08 AM,Residential Breaking and Entering,"Somerville Police responded to a residence in the area of Somerville Ave & Park St for an attempted breaking and entering. Upon arrival, officers spoke with the victim who stated he saw an unknown person lift his front window then stick a hand through. The victim yelled and the suspect",42.38200699802889,-71.10573477960676
22006941,2/11,2022,Day Shift (8AM - 4PM),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173502021003,4              ,March 28th 2022 - December 20th 2021 Crime News,2/11/22,10:41 AM,Assault,"Somerville Police responded to the area of Central St & Albion St after a victim reported that while he was in the crosswalk, he was approached by two juvenile males, one of whom displayed what appeared to be",42.39417007387968,-71.09997202016865
22007027,2/11,2022,First Half (4PM - Midnight),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173514034005,4              ,March 28th 2022 - December 20th 2021 Crime News,2/11/22,6:43 PM,Assault,"Somerville Police responded to Pearl St & Walnut St for report of a past assault. Upon arrival, officers spoke with the reporting party who stated her juvenile daughter was attacked by a group of juvenile females. The victim suffered multiple injuries.",42.38649752237363,-71.08894746464556
22007036,2/11,2022,First Half (4PM - Midnight),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173507021008,7              ,March 28th 2022 - December 20th 2021 Crime News,2/11/22,7:45 PM,Assault,"Somerville Police responded to a business in the area of Mystic Valley Pkwy & Boston Ave for report of an assault. Upon arrival, officers were informed that a customer engaged in an argument with an employee. During the argument, the employee threw an object at the customer. The customer then damaged an office computer in retaliation. Break In Log Feb 8 2022 to Feb 14 2022",42.416604386945735,-71.12828995435453
22007184,2/12,2022,Day Shift (8AM - 4PM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173514043000,1              ,March 28th 2022 - December 20th 2021 Crime News,2/12/22,1:11 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Glen St for a past breaking and entering. Upon arrival, officers spoke with the victim who stated he observed damage to his basement door and door frame.",42.38441444133131,-71.08542665605971
22007249,2/12,2022,First Half (4PM - Midnight),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173515003001,2              ,March 28th 2022 - December 20th 2021 Crime News,2/12/22,8:33 PM,Residential Breaking and Entering,"a victim entered the station and reported a past breaking and entering at his residence on Rossmore St. The victim stated he observed his garage door open and a tool was missing. Other Crimes during Feb 8, 2022 to Feb 14, 2022:",42.37878364130337,-71.09079452854921
22009405,2/23,2022,First Half (4PM - Midnight),120,Robbery,"The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.",Robbery,Crimes against Property,250173514031000,1              ,March 28th 2022 - December 20th 2021 Crime News,2/23/22,7:34 PM,Armed Robbery,"Somerville Police responded to a business in the area of Broadway & Mt Pleasant St for report of an armed robbery. Upon arrival, officers spoke with the reporting person who stated a man brandished a knife at her then demanded the money in the register. The male party was described as 5’6"", wearing all black, blue rubber gloves, and possibly being of Indian descent. Assault Log Feb 22 2022 to Feb 28 2022",42.38512810546521,-71.07838275138916
22009883,2/25,2022,First Half (4PM - Midnight),120,Robbery,"The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.",Robbery,Crimes against Property,250173515001007,2              ,March 28th 2022 - December 20th 2021 Crime News,2/25/22,5:47 PM,Armed Robbery,"Somerville Police responded to a business at 14 McGrath Hwy for report of an armed robbery with a firearm. Upon arrival, officers spoke with the reporting person who stated a man brandished a firearm at him then demanded the money in the register. The suspect was described as a black man, wearing a blue face mask with white lettering on the front, a grey Adidas hoodie with 3 black stripes on the sleeves and an Adidas emblem on the left chest, beige cargo pants",42.37408118900263,-71.08512525863847
22010226,2/27,2022,First Half (4PM - Midnight),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173501061016,1              ,March 28th 2022 - December 20th 2021 Crime News,2/27/22,5:05 PM,Assault,"Somerville Police responded to Assembly Row for report of an assault that had just occurred. Upon arrival, officers spoke with the victim who stated while inside a parking garage, she engaged in an argument with a man and woman. During the argument, the woman struck the victim causing her to fall to the ground. The man then approached the victim and kicked her.",42.395503039719635,-71.08039002773805
22010410,2/28,2022,Day Shift (8AM - 4PM),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173501082008,4              ,March 28th 2022 - December 20th 2021 Crime News,2/28/22,3:42 PM,Assault,"Somerville Police responded to Heath St for report of an assault. Upon arrival, officers spoke with the reporting person who stated his juvenile son was struck in the face by two other juvenile males after they attempted to rob him Break In Feb 22 2022 to Feb 28 2022",42.39461715869152,-71.0935903970906
